"Factor","Df","SumSq","MeanSq","Fvalue","Pr","Significance"
"product_type",199,3681366555190834,18499329423069.5,4077.5468244603,0,"***"
"Brand",284,1990917119611630,7010271547928.27,1247.8523360183,0,"***"
"manufacture_country",23,850881610120874,36994852613951.1,5829.94265771817,0,"***"
"Branch",24,31515596636220.2,1313149859842.51,191.15874125912,0,"***"
"City",11,7679383728150.88,698125793468.262,101.403969157494,3.25795203826423e-232,"***"
"IsHoliday",1,214229436870.52,214229436870.52,31.0958391207516,2.45637653831899e-08,"***"
"day_of_week",1,505816755155.862,505816755155.862,73.4223186786453,1.0476841208006e-17,"***"
"week_of_year",1,474149499.254618,474149499.254618,0.0688224006640902,0.793059176833787,""
"is_weekend",1,12068226.1109488,12068226.1109488,0.00175169278552465,0.96661570681816,""
"quarter",1,11341785326.6025,11341785326.6025,1.64625225224072,0.199469978187948,""
"year",1,13773236553.1375,13773236553.1375,1.99917615775902,0.157384928234373,""
"month",1,14302769956.5907,14302769956.5907,2.07603768232927,0.149628346989582,""
"day",1,422916965763.922,422916965763.922,61.3884476468764,4.68843038402772e-15,"***"
